#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
293,"<a href=""https://hockey-graphs.com/2015/05/13/how-did-bucci-do-revisiting-john-buccigrosss-alex-ovechkin-goals-projection/"" target=""_blank"">How Did Bucci Do? Revisiting John Buccigross' Alex Ovechkin Goals Projection</a>",https://hockey-graphs.com/2015/05/13/how-did-bucci-do-revisiting-john-buccigrosss-alex-ovechkin-goals-projection/,How Did Bucci Do? Revisiting John Buccigross' Alex Ovechkin Goals Projection,Benjamin Wendorf,2015,Evaluation,"Goals, Projection",Hockey Graphs,,
294,"<a href=""http://www.sportsnet.ca/hockey/nhl/injury-cascades-which-teams-are-most-at-risk-to-lose-more-players/"" target=""_blank"">Injury cascades: Which teams are most at risk to lose more players?</a>",http://www.sportsnet.ca/hockey/nhl/injury-cascades-which-teams-are-most-at-risk-to-lose-more-players/,Injury cascades: Which teams are most at risk to lose more players?,Steve Burtch,2015,Miscellaneous,Injuries,Sportsnet,,
295,"<a href=""https://archive.is/lshMG"" target=""_blank"">Up and Coming: Does height matter for defense?</a>",https://archive.is/lshMG,Up and Coming: Does height matter for defense?,Iain Fyffe,2009,Evaluation,"NHL Draft, Prospects, Defensemen",Hockey Prospectus,,
296,"<a href=""https://oilersnation.com/2016/11/16/why-the-scoring-chance-is-a-flawed-metric-and-how-we-can-improve-on-it/"" target=""_blank"">Why the “Scoring Chance” is a Flawed Metric and How We Can Improve It</a>",https://oilersnation.com/2016/11/16/why-the-scoring-chance-is-a-flawed-metric-and-how-we-can-improve-on-it/,Why the “Scoring Chance” is a Flawed Metric and How We Can Improve It,Loserpoints,2016,Measures,Shot Quality,Oilers Nation,,
297,"<a href=""http://www.hockeyviz.com/txt/indepGenSupp"" target=""_blank"">Shot Generation and Suppression are Mostly Independent</a>",http://www.hockeyviz.com/txt/indepGenSupp,Shot Generation and Suppression are Mostly Independent,Micah Blake McCurdy,2015,Measures,Corsi / Fenwick,Hockey Viz,,
298,"<a href=""https://www.blueshirtbanter.com/analytics/2015/8/12/9136611/goalies-are-voodoo-but-improving-comparative-analysis-tools-can-help"" target=""_blank"">Goalies are Voodoo...But Improving Comparative Analysis Tools Can Help</a>",https://www.blueshirtbanter.com/analytics/2015/8/12/9136611/goalies-are-voodoo-but-improving-comparative-analysis-tools-can-help,Goalies are Voodoo...But Improving Comparative Analysis Tools Can Help,Nick Mercadante,2015,Evaluation,"Adjusted, Expected, Goalies, Goals Saved, Mercad, xGSAA",Blueshirt Banter,,
299,"<a href=""https://archive.is/MJkyc"" target=""_blank"">The Importance of Quality of Competition</a>",https://archive.is/MJkyc,The Importance of Quality of Competition,Eric Tulsky,2012,Measures,Quality of Competition / Teammates,NHL Numbers,,
300,"<a href=""https://archive.is/moesQ/"" target=""_blank"">Hockey and Euclid: Calculating Statistical Similarity Between Players</a>",https://archive.is/moesQ/,Hockey and Euclid: Calculating Statistical Similarity Between Players,Emmanuel Perry,2016,Evaluation,Skaters,Corsica,,
301,"<a href=""https://canucksarmy.com/2013/10/10/a-graphic-guide-to-advanced-hockey-stats/"" target=""_blank"">A Graphic Guide to Advanced Hockey Stats</a>",https://canucksarmy.com/2013/10/10/a-graphic-guide-to-advanced-hockey-stats/,A Graphic Guide to Advanced Hockey Stats,Petbugs,2013,Introduction,"Fenwick, Corsi",Canucks Army,,
302,"<a href=""https://puckplusplus.com/2013/11/10/the-benefits-of-the-4-forward-powerplay/"" target=""_blank"">The Benefits of the 4-Forward Powerplay</a>",https://puckplusplus.com/2013/11/10/the-benefits-of-the-4-forward-powerplay/,The Benefits of the 4-Forward Powerplay,Matt Cane,2013,Measures,Powerplay,Puck++,,
303,"<a href =""http://oddacious.github.io/model-complexity"" target=""_blank"">Aiming for generalization with Hockey Hall of Fame models - on complexity and overfit in hockey models</a>",http://oddacious.github.io/model-complexity,Aiming for generalization with Hockey Hall of Fame models - on complexity and overfit in hockey models,RDJ,2017,Discussion,"Overfit, Variance, Bias",Github,,
304,"<a href=""https://hockey-graphs.com/2016/06/07/relationship-of-possession-to-shots-for/"" target=""_blank"">Relationship of Possession to Shots-For</a>",https://hockey-graphs.com/2016/06/07/relationship-of-possession-to-shots-for/,Relationship of Possession to Shots-For,Benjamin Wendorf,2016,Measures,Corsi / Fenwick,Hockey Graphs,,
305,"<a href=""https://archive.is/mYcpU"" target=""_blank"">Shot Quality Revisited: A Look at the Correlation between Scoring Chances and Shot Totals</a>",https://archive.is/mYcpU,Shot Quality Revisited: A Look at the Correlation between Scoring Chances and Shot Totals,Eric Tulsky,2012,Measures,Shot Quality,NHL Numbers,,
306,"<a href=""https://archive.is/mzTEO"" target=""_blank"">Illegal Curve: Hits and team success</a>",https://archive.is/mzTEO,Illegal Curve: Hits and team success,Richard Pollock,2010,Evaluation,Hits,Hockey Prospectus,,
307,"<a href=""https://archive.is/n2lCf"" target=""_blank"">Probabilistic Forecasting and Weighting of Three Star Selections</a>",https://archive.is/n2lCf,Probabilistic Forecasting and Weighting of Three Star Selections,Emmanuel Perry,2017,Evaluation,Skaters,Corsica,,
308,"<a href=""http://www.hockeyviz.com/txt/senstats"" target=""_blank"">Better Way to Compute Score-Adjusted Fenwick</a>",http://www.hockeyviz.com/txt/senstats,Better Way to Compute Score-Adjusted Fenwick,Micah Blake McCurdy,2014,Measures,Corsi / Fenwick,Sens Stats,,
309,"<a href=""https://archive.is/Nd7BL"" target=""_blank"">Numbers on Ice: Does Shot Quality Exist?</a>",https://archive.is/Nd7BL,Numbers on Ice: Does Shot Quality Exist?,Tom Awad,2010,Measures,Shot Quality,Hockey Prospectus,,
310,"<a href=""https://hockey-graphs.com/2018/11/27/how-to-get-started-in-hockey-analytics/"" target=""_blank"">How To Get Started In Hockey Analytics</a>",https://hockey-graphs.com/2018/11/27/how-to-get-started-in-hockey-analytics/,How To Get Started In Hockey Analytics,Alex Novet,2018,Introduction,"Hockey Analytics, Introduction",Hockey-Graphs,,
311,"<a href=""http://www.hockeyabstract.com/testimonials/nhltranslations"" target=""_blank"">2016-2017 NHL Translation Factors</a>",http://www.hockeyabstract.com/testimonials/nhltranslations,2016-2017 NHL Translation Factors,Rob Vollman,2017,Evaluation,NHL Draft,Hockey Abstract,,
312,"<a href=""https://hockey-graphs.com/2018/03/22/an-introduction-to-nwhl-game-score/"" target=""_blank"">An Introduction to NWHL Game Score</a>",https://hockey-graphs.com/2018/03/22/an-introduction-to-nwhl-game-score/,An Introduction to NWHL Game Score,Shawn Ferris,2018,Evaluation,"Game Score, NWHL",Hockey-Graphs,,
313,"<a href=""https://archive.is/NVS3v"" target=""_blank"">The Playoff Value of Grinders: Are they important?</a>",https://archive.is/NVS3v,The Playoff Value of Grinders: Are they important?,Tom Awad,2010,Evaluation,"Playoffs, Grinders",Hockey Prospectus,,
314,"<a href=""https://hockey-graphs.com/2017/08/01/introducing-weighted-points-above-replacement-part-1/"" target=""_blank"">Introducing Weighted Points Above Replacement - Part 1</a>",https://hockey-graphs.com/2017/08/01/introducing-weighted-points-above-replacement-part-1/,Introducing Weighted Points Above Replacement - Part 1,Evolving Wild,2017,Evaluation,"PAR, Points Above Replacement, Skaters, Weighting",Hockey Graphs,,
315,"<a href=""https://archive.is/nZPzN"" target=""_blank"">Numbers On Ice: Delta with teammate adjustments - DeltaSOT</a>",https://archive.is/nZPzN,Numbers On Ice: Delta with teammate adjustments - DeltaSOT,Tom Awad,2010,Evaluation,"Quality of Teammates, Skaters",Hockey Prospectus,,
316,"<a href=""http://www.crowdscoutsports.com/game-theory/rvh-research/"" target=""_blank"">RVH Research</a>",http://www.crowdscoutsports.com/game-theory/rvh-research/,RVH Research,Cole Anderson,2018,Evaluation,"RVH, Goalies, Positioning",Crowd Scout Sports,,
317,"<a href=""http://hockeyviz.com/txt/shifts1"" target=""_blank"">Shift Starts and Ends, Part 1</a>",http://hockeyviz.com/txt/shifts1,"Shift Starts and Ends, Part 1",Micah Blake McCurdy,2015,Measures,Corsi / Fenwick,Hockey Viz,,
318,"<a href=""https://jenlc13.wordpress.com/2016/04/11/crucial-habits-for-good-shot-generation-suppression-overview/"" target=""_blank"">Crucial Habits for Good Shot Generation and Suppression: Overview</a>",https://jenlc13.wordpress.com/2016/04/11/crucial-habits-for-good-shot-generation-suppression-overview/,Crucial Habits for Good Shot Generation and Suppression: Overview,Jen Lute Costella,2016,Measures,Corsi,Jen LC 13,,
319,"<a href=""https://objectivenhl.blogspot.com/2009/06/scoring-chances-by-game-state.html?m=0"" target=""_blank"">Scoring Chances By Game State</a>",https://objectivenhl.blogspot.com/2009/06/scoring-chances-by-game-state.html?m=0,Scoring Chances By Game State,Tore Purdy,2009,Measures,Shot Quality,Objective NHL,,
320,"<a href=""https://hockey-graphs.com/2017/04/10/a-new-look-at-aging-curves-for-nhl-skaters-part-2/"" target=""_blank"">A New Look at Aging Curves for NHL Skaters (part 2)</a>",https://hockey-graphs.com/2017/04/10/a-new-look-at-aging-curves-for-nhl-skaters-part-2/,A New Look at Aging Curves for NHL Skaters (part 2),Evolving Wild,2017,Evaluation,"Aging Curves, WAR",Hockey Graphs,,
321,"<a href=""https://archive.is/OJKXx"" target=""_blank"">Howe and Why: Quality Starts</a>",https://archive.is/OJKXx,Howe and Why: Quality Starts,Rob Vollman,2009,Evaluation,"Goaltenders, Quality Starts",Hockey Prospectus,,
322,"<a href=""https://hockey-graphs.com/2016/07/11/tactalytics-using-data-to-inform-tactical-offensive-zone-decisions/"" target=""_blank"">Tactalytics: Using Data to Inform Tactical Offensive Zone Decisions</a>",https://hockey-graphs.com/2016/07/11/tactalytics-using-data-to-inform-tactical-offensive-zone-decisions/,Tactalytics: Using Data to Inform Tactical Offensive Zone Decisions,Ryan Stimson,2016,Strategy,"Team, Zone Entries / Zone Exits / Starts",Hockey Graphs,,
323,"<a href=""http://www.behindthenet.ca/projecting_to_nhl.php"" target=""_blank"">Projecting Junior Hockey Players and Translating Performance to the NHL</a>",http://www.behindthenet.ca/projecting_to_nhl.php,Projecting Junior Hockey Players and Translating Performance to the NHL,Gabe Desjardins,2004,Evaluation,"Draft, NHL, Prospects",Behind the Net,,
324,"<a href=""https://archive.is/OsI36"" target=""_blank"">eTOI</a>",https://archive.is/OsI36,eTOI,Hayden Speak,2018,Measures,"Estiamted Time on Ice, Prospects, eTOI, Linear Regression",Prospect-Stats,,
325,"<a href=""http://objectivenhl.blogspot.com/2011/06/how-often-does-best-team-win.html"" target=""_blank"">How Often does the Best Team Win?</a>",http://objectivenhl.blogspot.com/2011/06/how-often-does-best-team-win.html,How Often does the Best Team Win?,Tore Purdy,2011,Miscellaneous,,Objective NHL,,
326,"<a href=""http://objectivenhl.blogspot.com/2009/05/pp-s-percentage-correction.html"" target=""_blank"">PP Shot Percentage: Correction</a>",http://objectivenhl.blogspot.com/2009/05/pp-s-percentage-correction.html,PP Shot Percentage: Correction,Tore Purdy,2009,Measures,Powerplay,Objective NHL,,
327,"<a href=""https://docs.google.com/spreadsheets/d/1iDTG463wmF-ySgAz_k10CrTbrvujcaufeKio3Peopr4/edit"" target=""_blank"">Women's World's Championship Data - Last 16 Years</a>",https://docs.google.com/spreadsheets/d/1iDTG463wmF-ySgAz_k10CrTbrvujcaufeKio3Peopr4/edit,Women's World's Championship Data - Last 16 Years,Giants in the Crease,2017,Women's Hockey,"Women's Hockey, World Championship",Google Docs,,
328,"<a href=""http://fooledbygrittiness.blogspot.com/2016/09/marcel-projections-for-goalies.html"" target=""_blank"">Marcel Projections for Goalies</a>",http://fooledbygrittiness.blogspot.com/2016/09/marcel-projections-for-goalies.html,Marcel Projections for Goalies,Harry Shomer,2016,Evaluation,Goalies,Fooled By Grittiness,,
329,"<a href=""http://fooledbygrittiness.blogspot.com/2017/02/a-few-stuff-about-miss.html"" target=""_blank"">A Few Stuff about Miss%</a>",http://fooledbygrittiness.blogspot.com/2017/02/a-few-stuff-about-miss.html,A Few Stuff about Miss%,Harry Shomer,2017,Measures,"Goalies, Missed Shot Percentage",Fooled By Grittiness,,
330,"<a href=""http://hockeyviz.com/txt/leverage"" target=""_blank"">Leverage</a>",http://hockeyviz.com/txt/leverage,Leverage,Micah Blake McCurdy,2016,Evaluation,"Pressure, Team",Hockey Viz,,
331,"<a href=""http://brodeurisafraud.blogspot.com/2008/08/goalie-fatigue.html"" target=""_blank"">Goalie Fatigue</a>",http://brodeurisafraud.blogspot.com/2008/08/goalie-fatigue.html,Goalie Fatigue,Philip Myrland,2008,Evaluation,"Goalies, Fatigue",Brodeur Is A Fraud,,
332,"<a href=""http://hockeyviz.com/txt/cordelia"" target=""_blank"">Prediction Model Cordelia</a>",http://hockeyviz.com/txt/cordelia,Prediction Model Cordelia,Micah Blake McCurdy,2016,Models,"Prediction, Team",Hockey Viz,,
333,"<a href=""https://jenlc13.wordpress.com/2015/09/30/back-to-basics-offensive-zone-entries/#more-634"" target=""_blank"">Back to Basics: Offensive Zone Entries</a>",https://jenlc13.wordpress.com/2015/09/30/back-to-basics-offensive-zone-entries/#more-634,Back to Basics: Offensive Zone Entries,Jen Lute Costella,2015,Introduction,"Zone Entries, Corsi",Jen LC 13,,
334,"<a href=""http://www.crowdscoutsports.com/game-theory/goalie-points-above-expected/"" target=""_blank"">Goalie Points Above Expected</a>",http://www.crowdscoutsports.com/game-theory/goalie-points-above-expected/,Goalie Points Above Expected,Cole Anderson,2018,Evaluation,"Goalies, Points, PAX",Crowd Scout Sports,,
335,"<a href=""https://archive.is/PjrC9"" target=""_blank"">Numbers on Ice: Understanding Goals Versus Threshold (GVT), Part 3</a>",https://archive.is/PjrC9,"Numbers on Ice: Understanding Goals Versus Threshold (GVT), Part 3",Tom Awad,2009,Evaluation,Skaters,Hockey Prospectus,,
336,"<a href=""https://archive.is/pkcK6"" target=""_blank"">Up and Coming: Exceptions that disprove the rule</a>",https://archive.is/pkcK6,Up and Coming: Exceptions that disprove the rule,Iain Fyffe,2009,Evaluation,"NHL Draft, Prospects, Projections",Hockey Prospectus,,
337,"<a href=""https://archive.is/Plc6f"" target=""_blank"">How and Why: OZ Coke Charts</a>",https://archive.is/Plc6f,How and Why: OZ Coke Charts,Rob Vollman,2011,Measures,Quality of Competition,Hockey Prospectus,,
338,"<a href=""https://hockey-graphs.com/2017/08/02/introducing-weighted-points-above-replacement-part-2/"" target=""_blank"">Introducing Weighted Points Above Replacement - Part 2</a>",https://hockey-graphs.com/2017/08/02/introducing-weighted-points-above-replacement-part-2/,Introducing Weighted Points Above Replacement - Part 2,Evolving Wild,2017,Evaluation,Weighted Points,Hockey Graphs,,
339,"<a href=""https://puckplusplus.com/2018/08/16/shift-ends-and-shot-rates/"" target=""_blank"">Shift Ends and Shot Rates</a>",https://puckplusplus.com/2018/08/16/shift-ends-and-shot-rates/,Shift Ends and Shot Rates,Matt Cane,2018,Evaluation,"Shifts, Shift Length, Corsi, Shots",Puck++,,
340,"<a href=""http://statsportsconsulting.com/2013/11/13/an-evaluation-of-the-total-hockey-rating-thor-part-i/"" target=""_blank"">An Evaluation of the Total Hockey Ranking (THoR) - Part I</a>",http://statsportsconsulting.com/2013/11/13/an-evaluation-of-the-total-hockey-rating-thor-part-i/,An Evaluation of the Total Hockey Ranking (THoR) - Part I,Michael Schuckers,2013,Evaluation,Skaters,Statistical Sports Consulting,,
341,"<a href=""https://hockey-graphs.com/2016/01/04/a-guide-to-neutral-zone-tracking-part-1-of-2-why-neutral-zone-statistics-matter/"" target=""_blank"">A Guide to Neutral Zone Tracking Part 1 of 2: Why Neutral Zone Statistics Matter</a>",https://hockey-graphs.com/2016/01/04/a-guide-to-neutral-zone-tracking-part-1-of-2-why-neutral-zone-statistics-matter/,A Guide to Neutral Zone Tracking Part 1 of 2: Why Neutral Zone Statistics Matter,Garik16,2016,Measures,Zone Entries / Exits / Starts,Hockey Graphs,,
342,"<a href=""http://rpubs.com/evolvingwild/395136"" target=""_blank"">A New Expected Goals Model for Predicting Goals in the NHL</a>",http://rpubs.com/evolvingwild/395136,A New Expected Goals Model for Predicting Goals in the NHL,Evolving Wild,2018,Evaluation,"Expected Goals, XGBoost",RPubs,,
343,"<a href=""https://archive.is/PWAWM"" target=""_blank"">Adjusted Shot Locations</a>",https://archive.is/PWAWM,Adjusted Shot Locations,Hayden Speak,2018,Evaluation,"Shot Location, Bias",Prospect-Stats,,
344,"<a href=""http://drivingplay.blogspot.com/2011/09/on-zone-starts.html"" target=""_blank"">On Zone Starts</a>",http://drivingplay.blogspot.com/2011/09/on-zone-starts.html,On Zone Starts,Jared L.,2011,Measures,Zone Entries / Exits / Starts,Driving Play,,
345,"<a href=""http://fooledbygrittiness.blogspot.com/2016/04/estimating-shooting-talent_13.html"" target=""_blank"">Estimating Shooting Talent</a>",http://fooledbygrittiness.blogspot.com/2016/04/estimating-shooting-talent_13.html,Estimating Shooting Talent,Harry Shomer,2016,Evaluation,"Shooting Talent, Skaters",Fooled By Grittiness,,
346,"<a href=""https://jenlc13.wordpress.com/2015/05/19/clearing-the-defensive-zone-the-dangers-of-dumping-the-puck-out/"" target=""_blank"">Clearing the Defensive Zone: Dangers of Dumping the Puck Out</a>",https://jenlc13.wordpress.com/2015/05/19/clearing-the-defensive-zone-the-dangers-of-dumping-the-puck-out/,Clearing the Defensive Zone: Dangers of Dumping the Puck Out,Jen Lute Costella,2015,Measures,"Zone Exits, Dump Outs, Corsi",Jen LC 13,,
